,Season,Season Encoding,Date,YearOfSeason,YearOfSeason Encoding,HomeTeam,HomeTeam Encoding,AwayTeam,AwayTeam Encoding,FTHG,FTAG,FTR,FTR Encoding,HTHG,HTAG,HTR,Referee,Referee Encoding,Fouls Called Per Game,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
41,Fall,0,17/10/2020,2020/21,1,Newcastle,17,Man United,15,1.0,4.0,A,1,1.0,1.0,D,C Pawson,25,15.0,7.0,28.0,4.0,14.0,9.0,12.0,0.0,7.0,1.0,1.0,0.0,0.0
42,Fall,0,18/10/2020,2020/21,1,Sheffield United,20,Fulham,8,1.0,1.0,D,2,0.0,0.0,D,A Marriner,14,13.0,10.0,15.0,6.0,6.0,5.0,9.0,2.0,5.0,0.0,2.0,0.0,0.0
43,Fall,0,18/10/2020,2020/21,1,Crystal Palace,6,Brighton,3,1.0,1.0,D,2,1.0,0.0,H,S Attwell,11,14.0,1.0,20.0,1.0,3.0,13.0,12.0,2.0,5.0,3.0,2.0,0.0,1.0
44,Fall,0,18/10/2020,2020/21,1,Tottenham,25,West Ham,28,3.0,3.0,D,2,3.0,0.0,H,P Tierney,5,15.0,11.0,13.0,6.0,4.0,13.0,12.0,3.0,7.0,0.0,5.0,0.0,0.0
45,Fall,0,18/10/2020,2020/21,1,Leicester,12,Aston Villa,-1,0.0,1.0,A,1,0.0,0.0,D,J Moss,27,14.0,11.0,10.0,5.0,4.0,18.0,18.0,2.0,7.0,4.0,3.0,0.0,0.0
46,Fall,0,19/10/2020,2020/21,1,West Brom,27,Burnley,-1,0.0,0.0,D,2,0.0,0.0,D,A Taylor,10,15.0,13.0,9.0,6.0,4.0,15.0,17.0,8.0,2.0,2.0,2.0,0.0,0.0
47,Fall,0,19/10/2020,2020/21,1,Leeds,11,Wolves,29,0.0,1.0,A,1,0.0,0.0,D,D Coote,9,14.0,13.0,7.0,2.0,3.0,13.0,12.0,8.0,3.0,2.0,1.0,0.0,0.0
48,Fall,0,23/10/2020,2020/21,1,Aston Villa,-1,Leeds,11,0.0,3.0,A,1,0.0,0.0,D,P Tierney,5,15.0,12.0,27.0,4.0,9.0,14.0,17.0,6.0,5.0,2.0,2.0,0.0,0.0
49,Fall,0,24/10/2020,2020/21,1,West Ham,28,Man City,14,1.0,1.0,D,2,1.0,0.0,H,A Taylor,10,15.0,6.0,14.0,2.0,7.0,14.0,6.0,2.0,10.0,2.0,0.0,0.0,0.0
50,Fall,0,24/10/2020,2020/21,1,Fulham,8,Crystal Palace,6,1.0,2.0,A,1,0.0,1.0,A,G Scott,21,13.0,16.0,14.0,3.0,10.0,11.0,11.0,4.0,4.0,0.0,1.0,1.0,0.0
51,Fall,0,24/10/2020,2020/21,1,Man United,15,Chelsea,5,0.0,0.0,D,2,0.0,0.0,D,M Atkinson,16,13.0,14.0,6.0,4.0,1.0,8.0,6.0,9.0,6.0,3.0,1.0,0.0,0.0
52,Fall,0,24/10/2020,2020/21,1,Liverpool,13,Sheffield United,20,2.0,1.0,H,0,1.0,1.0,D,M Dean,23,14.0,17.0,13.0,5.0,2.0,7.0,15.0,7.0,3.0,0.0,3.0,0.0,0.0
